municipality,region,latitude,longitude,russian_lang,elev,dist_road,pop_density,dist_russia,rebel_violence
Vozdvyzhenka,Donetsk,48.30365,37.51503,0.306666667,0.533527697,0.312916094,0.011255975,0.613954345,0
Voytove,Luhansk,48.84676,39.18666,0.608111111,0.131195335,0.154062484,0.011750816,0.283829056,0
Voykovskyy,Donetsk,47.76355,38.33176,0.512233333,0.419825073,0.129602071,0.015849296,0.08893163,1
Voykove,Donetsk,48.0045,37.99874,0.680877778,0.536443149,0.263363761,0.48748702,0.303473431,1
Voykove,Donetsk,47.96869,38.20851,0.707277778,0.460641399,0.206102322,0.013620966,0.221548737,1
Voykove,Donetsk,47.67536,38.13092,0.601888889,0.364431487,0.227599713,0.018529607,0.120058245,1
Voyevodske,Luhansk,49.94233,38.5395,0.240933333,0.498542274,0.40778518,0.006915213,0.01322392,0
Voyevodivka,Luhansk,48.98031,38.44682,0.413677778,0.157434402,0.254185234,0.246982625,0.544463437,0
Vostochnyy,Luhansk,48.4,38.8,0.591677778,0.448979592,0.009885633,0.046204684,0.299303985,1
Voskresenka,Donetsk,47.95461,36.64403,0.262411111,0.416909621,0.255698039,0.011792638,0.940686036,0
Vorovske,Donetsk,47.59389,38.17144,0.420611111,0.393586006,0.263230958,0.018529607,0.076983036,0
Voroshilovskiy,Donetsk,48.1,37.08333,0.234011111,0.50728863,0.025897445,0.011362739,0.754162674,1
Voroshilovskiy,Donetsk,47.79255,37.81691,0.567044444,0.635568513,0.037050814,0.021285056,0.3062339,1
Voroshilovo,Luhansk,48.15056,39.82806,0.786255556,0.440233236,0.032256967,0.005102762,0.037494992,0
Voroshilovka,Luhansk,48.855,38.23417,0.170055556,0.332361516,0.074445497,0.015922924,0.613038668,0
Voronyy,Donetsk,48.46667,37.48333,0.167711111,0.448979592,0.506248772,0.007055298,0.691884228,0
Voronove,Luhansk,48.89746,38.57279,0.469455556,0.224489796,0.175343366,0.434183865,0.555148871,1
Volodyne,Donetsk,47.69461,36.73788,0.249,0.422740525,0.27005806,0.011025466,0.796663437,0
Volodarske,Donetsk,47.20533,37.32139,0.408711111,0.39941691,0.030465144,0.010494694,0.371250013,1
Volodarsk,Luhansk,48.12483,39.59184,0.671588889,0.693877551,0.019213138,0.436710113,0.126153429,1
Volnukhyne,Luhansk,48.34062,39.28173,0.267077778,0.533527697,0.007071458,0.030088415,0.2634143,1
Luhanske,Donetsk,47.88638,37.68082,0.543777778,0.705539359,0.250052335,0.283004219,0.399111814,0
Vilne,Donetsk,47.52987,37.18513,0.385666667,0.50728863,0.272475136,0.025781362,0.565255221,0
Vodyane,Donetsk,47.82583,37.31184,0.182788889,0.56851312,0.227159256,0.027643038,0.578148893,1
Volnovakha,Donetsk,47.60103,37.49674,0.397222222,0.758017493,0.002784716,0.025781362,0.441188641,1
Volkova,Donetsk,47.38333,38.06667,0.252066667,0.250728863,0.071252229,0.011152706,0.097019956,0
Vovkodayeve,Luhansk,49.06875,39.29861,0.200188889,0.256559767,0.407062709,0.00784662,0.209486437,0
Volya,Donetsk,47.45094,38.07802,0.221344444,0.341107872,0.19677164,0.011152706,0.108654246,1
Vovchyy Yar,Donetsk,49.201,37.66861,0.151333333,0.428571429,0.270926944,0.009892355,0.456526987,0
Volchiy,Luhansk,49.5,39.41667,0.073144444,0.489795918,0.1338173,0.007158514,0.137007433,0
