commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,pop,pctforeign,eAdminhead,eEducationhead,eHospitalHealthInsurance,eHousinghead,eSocialhead,eTotalhead,eTraffichead,eUtilitieshead,lowincome,lowincome_rate,sd_share,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,totalseats,unemp_rate,unemployed,pct1565,crime_vtheft
Karlebo,2004,76826,242,82,4.218975067,0,1,1,0,0,13850,1208,19436,0.089061536,4.939390659,11.72859669,0,0.604548275,27.77819443,45.44582367,0.754424751,-0.359333187,7205,0.370703846,0.294117659,0,0,1,1,0,7,0,5,0,1,0,0,2,17,0.022741305,442,0.712595165,324
Karup,2004,16440,13,12,1.795869589,0,2,2,0,0,4662,410,6682,0.019604908,4.830888748,8.205627441,0,0.804399908,25.1623764,39.79616928,0.876084983,-0.083208621,2657,0.39763543,0.333333343,0,0,1,4,0,5,0,5,0,0,0,0,0,15,0.026938042,180,0.697695315,25
Kerteminde,2004,23858,45,14,1.265136361,0,0,0,0,0,7604,608,11066,0.025754564,4.029188633,10.27769756,0,0.411621183,23.33761024,38.27679443,0.997289002,-0.776613057,4244,0.383517087,0.294117659,0,0,6,0,0,4,0,5,0,2,0,0,0,17,0.032712813,362,0.687149823,59
Kjellerup,2004,28892,33,19,1.360446811,0,1,1,0,0,9310,796,13966,0.024273235,3.453028679,7.839109421,0,0.615781188,21.96248055,34.6418457,1.166332483,-0.394887596,5779,0.413790643,0.411764711,0,0,1,0,0,7,0,7,0,0,0,0,2,17,0.026707718,373,0.666618943,52
Kolding,2004,215634,442,226,3.571315765,0,13,13,1,1.58E-05,45108,3020,63282,0.05312727,4.750434399,9.198239326,0,0.69868207,26.89497757,41.78752136,1.086564898,-0.841376722,23511,0.371527463,0.439999998,0,0,1,2,0,7,0,11,1,2,0,0,1,25,0.028159667,1782,0.712809324,668
Korsør,2004,74424,173,78,3.797098637,0,2,2,1,4.87E-05,14337,1117,20542,0.03232402,4.741699696,7.967578411,0,1.040794492,27.19564819,41.31243134,0.899717629,-0.533005536,7189,0.34996593,0.470588237,0,0,1,2,0,4,0,8,0,2,0,0,0,17,0.044786293,920,0.697935939,251
Køge,2004,152466,147,157,3.956054688,0,4,4,1,2.52E-05,28033,1887,39686,0.044474121,4.364964962,10.68379307,0,1.118958831,26.98228645,43.13407898,0.74371314,-0.759638131,14248,0.359018296,0.380952388,0,0,2,1,0,7,0,8,1,1,0,0,1,21,0.028397923,1127,0.706369996,304
Langebæk,2004,13154,36,11,1.734742165,0,3,3,0,0,4412,380,6341,0.024128687,4.736949921,7.984387398,0,0.506860137,22.57341194,36.31256866,0.921305776,-0.410345376,2363,0.37265417,0.333333343,0,0,2,0,0,5,0,5,0,0,0,0,3,15,0.038479734,244,0.695789337,47
Langeskov,2004,8636,70,10,1.585037231,0,0,0,0,0,4355,309,6309,0.029323189,4.346013546,9.974638939,0,0.712157249,21.6172142,36.73672485,1.093517184,-1.006815672,2113,0.33491838,0.384615391,0,0,3,1,0,4,0,5,0,0,0,0,0,13,0.030115707,190,0.690283716,80
Langå,2004,16794,35,15,1.795332193,0,2,2,0,0,5792,457,8355,0.027887493,4.046917915,8.856253624,0,0.621065259,22.71454239,37.22609329,1.388270497,-0.400957525,3705,0.443447024,0.411764711,0,0,0,1,0,7,0,7,0,0,0,0,2,17,0.03734291,312,0.693237603,50
Ledøje-Smørum,2004,9860,120,13,1.240458012,0,0,0,0,0,7554,513,10480,0.034446564,5.205057144,11.4475193,0,0.41164121,16.63387489,34.31708145,1.258587837,-0.639599264,3544,0.338167936,0.13333334,0,0,8,0,0,4,0,2,0,1,0,0,0,15,0.017652672,185,0.720801532,133
Lejre,2004,11000,40,12,1.392919302,0,0,0,0,0,6124,479,8615,0.026465468,3.939988375,9.923853874,0,0.109228089,16.32164764,30.58131218,1.122692943,-0.836099803,3607,0.418688327,0.200000003,0,0,0,0,0,8,0,3,1,1,0,0,2,15,0.018572258,160,0.710853159,52
Lemvig,2004,37376,25,30,1.635947227,0,2,2,0,0,12405,1181,18338,0.026720472,3.536590576,9.604755402,0,0.497164369,22.78530884,36.93183517,1.058457851,-0.550441682,8103,0.441869348,0.190476194,0,1,1,1,0,11,0,4,0,2,0,0,1,21,0.023666702,434,0.6764642,55
Lunderskov,2004,7988,14,3,0.548245609,0,0,0,0,0,3691,305,5472,0.025402047,4.103983879,10.16940784,0,1.435307026,20.92964172,37.48556137,1.414839149,-0.56761694,1970,0.360014617,0.230769232,0,0,0,0,0,5,0,3,0,0,0,0,5,13,0.024488304,134,0.674524844,17
Lundtoft,2004,12953,27,16,2.588159084,0,2,2,0,0,4197,387,6182,0.053380784,4.774668217,8.878194809,0,0.191685542,23.13862801,37.97428131,1.438207746,-0.447104484,2342,0.378841788,0.307692319,0,0,2,0,0,6,0,4,0,0,0,0,1,13,0.028146232,174,0.6789065,43
Lyngby-Taarbæk,2004,103317,264,75,1.456112742,0,5,5,0,0,34073,3154,51507,0.058613393,4.513599873,9.830022812,0,1.347195506,23.75523758,39.69984818,0.734482706,-0.48069194,17483,0.339429587,0.238095239,0,0,7,1,0,5,0,5,1,2,0,0,0,21,0.020055527,1033,0.661521733,339
Læsø,2004,1327,0,2,0.91869545,0,0,0,0,0,1488,120,2177,0.026642168,6.684887409,8.480937004,0,1.296738625,24.79053688,45.42259979,5.047312737,-0.877813518,1101,0.505741835,0.111111112,0,0,0,0,0,2,0,1,0,0,0,0,6,9,0.066605419,145,0.683509409,2
Løgstør,2004,25703,54,44,4.245465279,1,2,1,0,0,7104,551,10364,0.027306059,4.526051521,8.551041603,0,0.99199152,26.99064064,41.48842239,1.07854116,-0.6498456,3926,0.37881127,0.263157904,0,0,0,0,0,11,0,5,2,1,0,0,0,19,0.036954843,383,0.68544966,98
Løgumkloster,2004,10148,23,23,3.335266829,0,0,0,0,0,4583,422,6896,0.041183293,4.210991859,8.244779587,0,0.601943135,22.48230934,36.54858017,1.34454751,-0.335991889,3044,0.44141531,0.200000003,0,1,0,0,0,8,1,3,0,0,1,0,1,15,0.026102088,180,0.664588153,46
Løkken-Vrå,2004,17005,45,45,5.099728107,0,1,1,0,0,5966,540,8824,0.023118768,4.417271137,8.087262154,0,0.812330008,25.74161339,39.19345093,0.983340859,-0.848368108,3914,0.443563014,0.176470593,0,0,0,0,0,6,0,3,0,0,0,0,8,17,0.04385766,387,0.676110625,90
Mariager,2004,20091,25,25,2.991862059,0,2,2,0,0,5687,515,8356,0.022857826,4.40761137,8.725466728,0,0.251196742,24.35375786,39.08868027,1.644447088,-0.293800861,3289,0.393609375,0.333333343,0,0,3,1,0,5,0,5,0,0,0,0,1,15,0.034466252,288,0.680588782,50
Maribo,2004,49740,52,37,3.355096102,0,1,1,0,0,7596,542,11028,0.036996737,4.830703735,8.03019619,0,0.970982969,28.42990494,42.79461288,1.339590192,-0.806764603,3786,0.343307942,0.428571433,0,0,1,1,0,6,0,9,0,2,0,1,1,21,0.03318825,366,0.688792169,89
Marstal (-2005/2006),2004,5032,2,4,1.226617575,0,0,0,0,0,2220,197,3261,0.02238577,5.849125862,6.669733047,0,0.377184927,25.90984344,39.00705338,1.058877587,-0.857712328,1433,0.43943575,0.181818187,0,0,6,0,0,2,0,2,0,0,0,0,1,11,0.031892058,104,0.680772781,6
Middelfart,2004,54305,85,71,3.500986099,0,1,1,0,0,14039,949,20280,0.029585799,3.687721968,8.895414352,0,0.55266273,25.13742638,38.51045227,0.737080872,-0.499852061,7910,0.390039444,0.526315808,0,0,2,1,0,4,0,10,1,1,0,0,0,19,0.02948718,598,0.692258358,156
Midtdjurs,2004,27353,27,15,1.943256974,0,0,0,0,0,5253,444,7719,0.022282679,4.597875595,9.544630051,0,0.610053122,25.90037537,41.76771545,1.579738259,-0.464956611,3257,0.42194584,0.333333343,0,0,0,1,0,4,0,5,0,1,0,0,4,15,0.03925379,303,0.680528581,42
Morsø,2004,53344,70,49,2.164693356,0,0,0,0,0,15269,1265,22636,0.02102845,3.380500078,7.839282513,0,0.463288575,26.78962708,39.06242371,0.906697273,-0.316972971,9281,0.410010606,0.428571433,0,0,0,0,0,8,3,9,0,0,0,0,1,21,0.023414031,530,0.67454499,119
